artifact_id,chapter_id,museum_part,room,title,item_type,local_original_path,cloud_original_path,source_url,source_name,rights_status,storage_status,checksum_sha256,what_to_notice,what_this_cannot_prove,lecture_connection,curator_note,metadata_file
gt-021-001,gt-021,apocalypse,entrance_artifact,U.S. Unemployment Rate 1929–1940,chart,original/us-unemployment-1929-1940.svg,Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/001-great-depression-unemployment-chart/original/us-unemployment-1929-1940.svg,https://commons.wikimedia.org/wiki/File:US_unemployment_1929_1940.svg,"Wikimedia Commons — U.S. unemployment rate 1929–1940, Bureau of Labor Statistics historical data",public_domain,url_only_pending_local,pending,"The shape of the curve — not a single drop but a series of pressure pulses. Unemployment rose from 1929 to 1933, then partially recovered, then collapsed again in 1937–1938 (the recession-within-depression). The partial recovery of 1934–1937 is a false plateau: it appears to be resolution but is not. Crisis pressure has this signature — it does not resolve cleanly. Notice the scale: at peak, one in four American workers was unemployed.","This chart cannot prove what caused the Depression, what policy interventions worked, or whether the recovery was genuine before WWII spending intervened. It is a pressure shape, not a causal explanation. The BLS historical data series has measurement limitations — unemployment was not defined consistently across this period. The chart shows a shape, not a precise count.",The chapter's central argument is that live crisis pressure has a signature shape — it does not resolve cleanly and contains false plateaus that tempt observers into premature declarations of recovery. This chart is the empirical anchor for that claim. The 1937 secondary collapse is the chapter's key exhibit within the exhibit.,"The entrance artifact for this exhibit must be quantitative — it establishes that we are dealing with measurable pressure, not narrative or anecdote. All documents and speeches follow this chart; placing data first prevents the visitor from treating the chapter as primarily a political or biographical story.",Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/001-great-depression-unemployment-chart/metadata.yaml
gt-021-002,gt-021,apocalypse,context_room,U.S. WWII Home Front Rationing Poster (1943),document,original/wwii-rationing-poster-1943.jpg,Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/002-wartime-rationing-poster/original/wwii-rationing-poster-1943.jpg,https://commons.wikimedia.org/wiki/Category:World_War_II_rationing_posters_of_the_United_States,"Wikimedia Commons — U.S. WWII rationing poster collection, Office of War Information, 1943",public_domain,url_only_pending_local,pending,"The poster addresses the civilian population directly: ordinary people, not soldiers. The design asks for behavioral compliance — rationing is a distributed sacrifice. The graphic style is confident and instructional, not panicked. Crisis pressure had been institutionally absorbed by 1943; the state is now managing scarcity, not reacting to it. Compare the tone here to what the 1907 newspaper headline communicates.","A government poster cannot prove what civilians actually believed or how they experienced rationing. Compliance posters represent the state's communication strategy, not the population's response. Compliance rates varied significantly. The poster's confident tone does not establish that confidence was uniformly felt.","This artifact places crisis pressure in its downstream consequence — the Depression was followed by wartime mobilization that imposed its own sustained pressure. The chapter argues that crisis pressure does not end; it transforms. The exhibit shows the pressure shape (chart), its acute moment (1907 newspaper), the institutional response (FDR speech), and then this: the extended mobilization that followed.","The rationing poster is in context_room because it is background to the chapter's primary argument rather than a direct exhibit of the argument itself. It contextualizes the duration of the pressure period — from 1929 through the early 1940s was a sustained crisis arc, not a single event. A specific poster should be selected; the source_url currently points to a collection category.",Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/002-wartime-rationing-poster/metadata.yaml
gt-021-003,gt-021,apocalypse,primary_artifacts_and_texts,"New York Times front page, October 24, 1907",text,pending_download,pending — external_link_only artifact; no local file,https://timesmachine.nytimes.com/timesmachine/1907/10/24/issue.html,"New York Times — TimesMachine archive, October 24, 1907",external_link_only,url_only_pending_local,not_applicable,The front-page headline communicates institutional breakdown in real time. Read the language: is it panicked or restrained? How newspapers reported financial crisis in 1907 shaped public understanding of what was happening. The Panic of 1907 was resolved by J.P. Morgan's private coordination — no Federal Reserve existed yet. The institutional response context is absent from the page itself.,"A newspaper front page cannot prove what actually happened in financial markets that day, what ordinary depositors believed or did, or whether the headline accurately characterized conditions. Newspapers in 1907 were not objective financial reporters; editorial choices shaped what ""panic"" looked like in print.","The 1907 panic is the chapter's earlier case, predating the Federal Reserve (1913) and the regulatory infrastructure built after 1933. It shows the same pressure signature (bank runs, institutional cascades, emergency coordination) at a moment when the institutional response capacity was weaker. The comparison to the 1929–1933 period shows how much the response infrastructure changed — and how the pressure signature persisted anyway.","IMPORTANT: NYT TimesMachine requires a subscription to access full pages. This artifact is classified external_link_only because downloading and hosting the image locally would raise rights concerns. A public domain alternative: the Library of Congress Chronicling America collection (chroniclingamerica.loc.gov) holds 1907 newspapers from other publications. If a contemporaneous alternative from a public domain source is found, update rights_status to public_domain and storage_status accordingly. Do not acquire this artifact locally without rights confirmation.",Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/003-panic-of-1907-newspaper/metadata.yaml
gt-021-004,gt-021,apocalypse,primary_artifacts_and_texts,"FDR Fireside Chat No. 1 — On the Banking Crisis (March 12, 1933)",speech,original/fdr-fireside-chat-01-banking-crisis-1933.txt,Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/004-roosevelt-fireside-chat-transcript/original/fdr-fireside-chat-01-banking-crisis-1933.txt,https://www.presidency.ucsb.edu/documents/fireside-chat-0,"UCSB American Presidency Project — FDR Fireside Chat No. 1, March 12, 1933",public_domain,url_only_pending_local,pending,"The register: FDR addresses the audience as ""my friends."" This is not a formal presidential address — it is calibrated to sound like a neighbor explaining something calmly over the radio. Notice what he explains: the mechanics of banking. FDR assumes his audience does not understand how banks work and teaches them. The speech is an act of institutional confidence restoration, not policy announcement. Read for what it does, not only what it says.","The transcript cannot prove how listeners received the speech or whether it actually restored confidence. It is the state's communication, not the public's response. Polling on the speech's effect is retrospective; contemporaneous reception is harder to establish. The speech also cannot prove the banking policies it described were correct or that they caused subsequent recovery.",The chapter's argument about institutional response to crisis pressure is anchored here. FDR's first Fireside Chat is the primary document of the moment when the state intervened not with direct resources but with communication — an attempt to convert panic (irrational mass behavior) into patience (cooperative institutional behavior). Whether it worked is a separate question from whether it was the institutional response designed for the pressure signature the chapter describes.,The UCSB American Presidency Project is the authoritative source for presidential speech texts. The transcript is public domain as a government document. Consider pairing the transcript with an audio clip if a public domain recording exists — FDR's voice was central to the speech's effect; text alone loses that. The FDR Library holds recordings; confirm public domain status before acquiring audio.,Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/004-roosevelt-fireside-chat-transcript/metadata.yaml
gt-021-005,gt-021,apocalypse,pressure_systems,Pressure Cascade System Diagram,pressure_system,original/pressure-cascade-diagram.svg,Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/005-pressure-cascade-diagram/original/pressure-cascade-diagram.svg,none — curator-authored,Predictive History Museum curatorial staff,open_license,pending_acquisition,pending,The diagram should show the structural phases of a pressure cascade: trigger event → cascade onset → false plateau → secondary collapse → transformation/resolution. Look for the asymmetry between onset speed and resolution speed — crises tend to fall faster than they recover. The diagram makes the chapter's structural argument visible as a system rather than as a sequence of historical events.,"A diagram is a model, not data. It shows a pattern abstracted from specific cases; it cannot prove that any particular crisis will follow this shape. The pressure cascade model may not apply to all crisis types — the chapter's cases are primarily financial and economic. Other domains (political, ecological, military) may have different pressure signatures.","The pressure_systems room exists to make structural forces visible as structures — not as events that happened, but as systems with identifiable shapes. The diagram translates the unemployment chart (artifact 001) from empirical data into an analytical framework. It is the chapter's theoretical instrument, placed after the empirical evidence so it reads as derived from data, not imposed on it.","This artifact does not yet exist. It must be created by a curator or designer. The diagram should be vector format (SVG) for display scaling. It should be simple enough to read in a museum exhibit context — not a technical paper figure. Key elements to include: labeled phases, directional arrows, the false plateau specifically marked, and a note that this is a model, not a prediction. Draft in original/pressure-cascade-diagram.svg when ready.",Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/005-pressure-cascade-diagram/metadata.yaml
gt-021-006,gt-021,apocalypse,caution_room,Curator's Caution: The Danger of Crisis Pattern-Matching,symbolic_artifact,original/caution-crisis-pattern-matching.md,Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/006-limits-of-crisis-pattern-matching/original/caution-crisis-pattern-matching.md,none — curator-authored,Predictive History Museum curatorial staff,open_license,pending_acquisition,pending,"This is a curator-authored text, not a historical document. Its presence is the exhibit's commitment to epistemic honesty. The exhibit has shown you a pressure signature pattern. This artifact names what you cannot do with that pattern: treat it as a template for predicting future crises.",A caution text cannot resolve the problems it names — it can only name them honestly.,The chapter identifies crisis pressure patterns across two historical cases. This caution closes the exhibit by specifying the exact error the chapter is designed to prevent: using pattern recognition to generate false certainty about future events. Pattern families are not laws. Resemblance is not identity.,Every exhibit requires a caution_room artifact. This one must address the specific methodological risk of the Apocalypse book's overall project: identifying patterns in historical crises and using them to analyze present and future conditions. The caution text (300–500 words) must be written by a human curator and placed in original/caution-crisis-pattern-matching.md. It should name the specific errors that crisis pattern-matching produces and explain why the chapter's method does not claim to eliminate them.,Predictive History Museum/apocalypse/gt-021-live-crisis-pressure/artifacts/006-limits-of-crisis-pattern-matching/metadata.yaml
civ-053-001,civ-053,civilization,entrance_artifact,Russian Orthodox Liturgical Chant (Obikkhod),music,original/russian-orthodox-chant-obikkhod.mp3,Predictive History Museum/civilization/civ-053-dostoevsky-and-the-soul-of-russia/artifacts/001-russian-orthodox-chant/original/russian-orthodox-chant-obikkhod.mp3,https://archive.org/details/russianorthodoxchant,Internet Archive — Russian Orthodox Chant Collection,public_domain,url_only_pending_local,pending,"The monophonic texture — a single melodic line, no harmony in the Western sense. The slow, cyclical structure that resists forward narrative momentum. This music does not resolve; it accumulates and returns. Listen for the absence of individual performance: this is communal voice, not solo.","This recording cannot prove what Dostoevsky himself heard or how nineteenth-century Orthodox practice sounded in St. Petersburg parishes. Recording technology did not exist in his lifetime. This is a later performance of a tradition, not the tradition itself. The specific recording's date and performers matter — confirm before use.","The chant establishes the civilizational substrate before Dostoevsky's fiction enters. The underground man's rage is only intelligible against this background sound — something ancient, communal, and resistant to individualist rationalism. The chapter argues that modernization pressure becomes legible when you can hear what it was displacing.",Selected as the entrance artifact because it precedes and outlasts Dostoevsky. The visitor needs to inhabit the tradition before encountering the man who diagnosed its fracture. Internet Archive hosts multiple public domain recordings of Orthodox chant; confirm the specific item's rights and note the performers before downloading.,Predictive History Museum/civilization/civ-053-dostoevsky-and-the-soul-of-russia/artifacts/001-russian-orthodox-chant/metadata.yaml
civ-053-002,civ-053,civilization,context_room,"Portrait of Fyodor Dostoevsky (Perov, 1872)",portrait,original/perov-portrait-dostoevsky-1872.jpg,Predictive History Museum/civilization/civ-053-dostoevsky-and-the-soul-of-russia/artifacts/002-portrait-of-dostoevsky/original/perov-portrait-dostoevsky-1872.jpg,https://commons.wikimedia.org/wiki/File:Vasily_Perov_-_%D0%9F%D0%BE%D1%80%D1%82%D1%80%D0%B5%D1%82_%D0%A4.%D0%9C.%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_-_Google_Art_Project.jpg,"Wikimedia Commons — Vasily Perov, Portrait of Dostoevsky, 1872 (Tretyakov Gallery)",public_domain,url_only_pending_local,pending,"The eyes — looking past the viewer, not at them. This is the canonical Dostoevsky: intense, inward, not performing for an audience. The hands are not shown; the figure is cropped to head and chest, isolating the face. Perov painted him in the same year as The Possessed — this is the man in full crisis.","A portrait cannot reveal inner states. Perov's artistic choices shaped this image as much as Dostoevsky's appearance did. This is how one painter saw him in one session, not an objective record. Dostoevsky's own accounts of his appearance and manner differ from how others described him.","The portrait grounds the chapter in a specific person, not an abstraction. Before the chapter makes claims about ""Dostoevsky's diagnosis of Russian civilization,"" the visitor needs to see the man: aged, epileptic, recently returned from Siberian exile, writing against deadline. The context makes the diagnosis credible.",The Perov portrait is the most reproduced and most authoritative likeness — painted with Dostoevsky's cooperation at the peak of his career. Placed in context_room rather than entrance because the sound of the tradition (001) must precede the man who wrestled with it.,Predictive History Museum/civilization/civ-053-dostoevsky-and-the-soul-of-russia/artifacts/002-portrait-of-dostoevsky/metadata.yaml
civ-053-003,civ-053,civilization,primary_artifacts_and_texts,"Notes from Underground — Part I, Chapter 1",text,original/notes-from-underground-part1-ch1.txt,Predictive History Museum/civilization/civ-053-dostoevsky-and-the-soul-of-russia/artifacts/003-notes-from-underground-text/original/notes-from-underground-part1-ch1.txt,https://www.gutenberg.org/ebooks/600,"Project Gutenberg — Notes from the Underground, tr. Constance Garnett",public_domain,url_only_pending_local,pending,"The opening sentence: ""I am a sick man... I am a wicked man."" Not an introduction — an assault. The narrator refuses the social contract of the novel's opening before the reader can settle. Notice what is absent: no name, no physical description, no location given. The underground man exists as pure voice and pure resentment.","This text cannot prove that the underground man represents any actual Russian person or social type. It cannot confirm that Dostoevsky shared the narrator's views — he constructed this voice to expose, not endorse it. Literary characters are not historical evidence of the people who read them.","Part I, Chapter 1 is the chapter's primary exhibit for the claim that Dostoevsky was analyzing the psychological damage of Western rationalism on Russian consciousness. The underground man is the product of European Enlightenment ideas applied to a Russian sensibility — the chapter argues this fracture was civilizationally diagnostic.","The Garnett translation is the most widely read English version and is public domain. The Pevear/Volokhonsky translation (Vintage, 1994) is more accurate but copyrighted. For exhibit purposes the Garnett is appropriate; for scholarly citation, note the translation choice matters and advise visitors to consult P/V for serious study.",Predictive History Museum/civilization/civ-053-dostoevsky-and-the-soul-of-russia/artifacts/003-notes-from-underground-text/metadata.yaml
civ-053-004,civ-053,civilization,primary_artifacts_and_texts,"Icon of Christ Pantocrator (Novgorod School, 12th century)",artwork,original/christ-pantocrator-novgorod-12c.jpg,Predictive History Museum/civilization/civ-053-dostoevsky-and-the-soul-of-russia/artifacts/004-russian-orthodox-icon/original/christ-pantocrator-novgorod-12c.jpg,https://commons.wikimedia.org/wiki/File:Christ_Pantocrator_Sinai_6th_century.jpg,"Wikimedia Commons — Christ Pantocrator, Saint Catherine's Monastery, Sinai (6th c.) — used as representative type",public_domain,url_only_pending_local,pending,"The frontal gaze — Christ looking directly at the viewer, unmediated. The asymmetry of the face (common in Byzantine iconography): two different expressions in the two halves — mercy on one side, judgment on the other. The gold ground: not a background but the divine light that makes the figure visible. This image is not representational in the Western sense; it is a window, not a picture.","This specific icon was not known to Dostoevsky. It is used as a representative type of the tradition he grew up within, not as an object he saw or cited. Icons cannot prove what the Orthodox faithful actually believed or experienced — they are the tradition's self-expression, not a sociological survey.",The icon places the spiritual world that the underground man is fleeing — or failing to flee — into visible form. Dostoevsky's argument about Russian civilization's spiritual fracture is only legible if the visitor can see what was being fractured. The Christ Pantocrator type appears directly in The Brothers Karamazov (Zosima's teaching); its presence here bridges the exhibit to the broader Dostoevsky corpus.,"Note on source: the Wikimedia image linked is the Sinai Pantocrator (6th century), the most famous icon of this type. For an explicitly Russian/Novgorod School example, a Tretyakov Gallery or Russian Museum scan may be more appropriate. Curator should confirm whether Sinai or Novgorod example is more accurate to the chapter's claims about specifically Russian Orthodox tradition before finalizing.",Predictive History Museum/civilization/civ-053-dostoevsky-and-the-soul-of-russia/artifacts/004-russian-orthodox-icon/metadata.yaml
